id,parent,name_ja,name_kana,name,tabularmap
100,,日本,にほん,Japan,"- - 北海道
北陸 北関東・甲信 東北
中国 近畿 南関東
九州 四国 東海"
102,100,東北,とうほく,Tohoku,"- 青森
秋田 岩手
山形 宮城
- 福島",
103,100,南関東,みなみかんとう,Minami-Kanto,"埼玉 -
東京 -
神奈川 千葉"
104,100,北関東・甲信,きたかんとう・ほくしん,Kita-Kanto/Hokushin,"長野 群馬 栃木
山梨 - 茨城"
105,100,北陸,ほくりく,Hokuriku,"石川 富山 新潟
福井 - -",
106,100,東海,とうかい,Tokai,"- 岐阜 -
三重 愛知 静岡"
107,100,近畿,きんき,Kinki,"京都 滋賀
兵庫 大阪
和歌山 奈良"
108,100,中国,ちゅうごく,Chugoku,"- 島根 鳥取
山口 広島 岡山",
109,100,四国,しこく,Shikoku,"愛媛 香川
高知 徳島"
110,100,九州,きゅうしゅう,Kyusyu,"長崎 佐賀 福岡
- 熊本 大分
沖縄 鹿児島 宮崎"
18,105,福井,ふくい,Fukui,"嶺北
嶺南"
1801,18,嶺北,れいほく,Reihoku,"あわら市 坂井市 永平寺町 勝山市
福井市 鯖江市 池田町 大野市
越前町 越前市 南越前町 -"
1802,18,嶺南,れいなん,Reinan,"高浜町 - 美浜町 敦賀市
おおい町 小浜市 若狭町 -"
20,104,長野,ながの,Nagano,"北アルプス 長野 北信
松本 上田 佐久
木曽 上伊那 諏訪
南信州 - -"
2001,20,佐久,さく,Saku,"小諸市 御代田町 軽井沢町
立科町 佐久市 佐久穂町
小海町 北相木村 南相木村
南牧村 川上村 -"
2002,20,上田,うえだ,Ueda,"青木村 上田市 東御市
- 長和町 -"
2003,20,諏訪,すわ,Suwa,"岡谷市 下諏訪町 -
諏訪市 茅野市 原村
- - 富士見町"
2004,20,上伊那,かみいな,Kamiina,"辰野町 箕輪町
南箕輪村 伊那市
宮田村 駒ヶ根市
飯島町 中川村"
2005,20,南信州,みなみしんしゅう,Minami-Shinshu,"松川町 高森町 豊丘村 大鹿村
- 飯田市 喬木村 -
平谷村 阿智村 下條村 泰阜村
根羽村 売木村 阿南町 天龍村"
2006,20,木曽,きそ,Kiso,"王滝村 木曽町 木祖村
上松町 大桑村 南木曽町"
2007,20,松本,まつもと,Matsumoto,"生坂村 筑北村 麻績村
- 安曇野市 松本市
朝日村 山形村 塩尻市"
2008,20,北アルプス,きたあるぷす,Kita-Arupusu,"小谷村 - -
白馬村 - -
大町市 松川村 池田町"
2009,20,長野,ながの,Nagano,"長野市 信濃町 飯綱町
小川村 千曲市 小布施町
坂城町 須坂市 高山村"
2010,20,北信,ほくしん,Hokushin,"飯山市 野沢温泉村 栄村
中野市 木島平村 山ノ内町"
